"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","answer","true_neg","correct","true_pos","false_pos","false_neg","condition","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type"
"","","","","","instructions","10","122677","0.0-5.0","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","[{""page_index"":0,""viewing_time"":2647}]","2647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","135685","0.0-6.0-0.0","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","null","experiment","bough","dough","cough","through","rough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","12","162567","0.0-6.0-1.0","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","26873","phon_sim","","{""position_1"":""bough"",""position_2"":""cough"",""position_3"":""dough"",""position_4"":""through"",""position_5"":""rough""}","experiment","","","","","","","bough","cough","dough","through","rough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","175584","0.0-6.0-0.1","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bought</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1></div>","null","experiment","bought","sort","caught","taut","wart","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","14","185110","0.0-6.0-1.1","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","9519","phon_sim","","{""position_1"":""bought"",""position_2"":""sort "",""position_3"":""bought"",""position_4"":""caught"",""position_5"":""wart""}","experiment","","","","","","","bought","sort ","bought","caught","wart","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","198123","0.0-6.0-0.2","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1></div>","null","experiment","friend","row","plea","sleigh","board","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","208318","0.0-6.0-1.2","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","10188","phon_sim","","{""position_1"":""friend"",""position_2"":""row"",""position_3"":""plea"",""position_4"":""sleigh"",""position_5"":""board""}","experiment","","","","","","","friend","row","plea","sleigh","board","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","221332","0.0-6.0-0.3","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">dough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","null","experiment","dough","cough","through","bough","rough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","18","228645","0.0-6.0-1.3","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","7306","phon_sim","","{""position_1"":""dough"",""position_2"":""cough"",""position_3"":""through"",""position_4"":""bough"",""position_5"":""rough""}","experiment","","","","","","","dough","cough","through","bough","rough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","241663","0.0-6.0-0.4","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1></div>","null","experiment","cough","through","dough","rough","bough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","20","250654","0.0-6.0-1.4","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","8985","phon_sim","","{""position_1"":""cough"",""position_2"":""through"",""position_3"":""rough"",""position_4"":""dough"",""position_5"":""bough""}","experiment","","","","","","","cough","through","rough","dough","bough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","263673","0.0-6.0-0.5","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1></div>","null","experiment","friend","sleigh","row","plea","board","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","22","272509","0.0-6.0-1.5","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","8828","phon_sim","","{""position_1"":""friend"",""position_2"":""sleigh"",""position_3"":""row"",""position_4"":""plea"",""position_5"":""board""}","experiment","","","","","","","friend","sleigh","row","plea","board","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","285513","0.0-6.0-0.6","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">row</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1></div>","null","experiment","row","friend","board","sleigh","plea","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","24","294766","0.0-6.0-1.6","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","9243","phon_sim","","{""position_1"":""row"",""position_2"":""friend"",""position_3"":""sleigh"",""position_4"":""board"",""position_5"":""plea""}","experiment","","","","","","","row","friend","sleigh","board","plea","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","307773","0.0-6.0-0.7","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1></div>","null","experiment","cough","rough","dough","bough","through","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","316438","0.0-6.0-1.7","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","8656","phon_sim","","{""position_1"":""cough"",""position_2"":""rough"",""position_3"":""dough"",""position_4"":""bough"",""position_5"":""through""}","experiment","","","","","","","cough","rough","dough","bough","through","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","329453","0.0-6.0-0.8","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1></div>","null","experiment","wart","sort","bought","caught","taut","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","337131","0.0-6.0-1.8","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","7666","phon_sim","","{""position_1"":""wart"",""position_2"":""sort"",""position_3"":""bought"",""position_4"":""caught"",""position_5"":""taut""}","experiment","","","","","","","wart","sort","bought","caught","taut","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","350142","0.0-6.0-0.9","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">rough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1></div>","null","experiment","rough","dough","through","bough","cough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","358925","0.0-6.0-1.9","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","8775","phon_sim","","{""position_1"":""rough"",""position_2"":""dough"",""position_3"":""through"",""position_4"":""bough"",""position_5"":""cough""}","experiment","","","","","","","rough","dough","through","bough","cough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","371932","0.0-6.0-0.10","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">caught</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1></div>","null","experiment","caught","wart","sort","bought","taut","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","403645","0.0-6.0-1.10","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","31702","phon_sim","","{""position_1"":""caught"",""position_2"":""wart"",""position_3"":""bought"",""position_4"":""sort"",""position_5"":""taut""}","experiment","","","","","","","caught","wart","bought","sort","taut","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","416652","0.0-6.0-0.11","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","sleigh","friend","board","plea","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","443140","0.0-6.0-1.11","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","26480","phon_sim","","{""position_1"":""sleigh"",""position_2"":""friend"",""position_3"":""board"",""position_4"":""plea"",""position_5"":""caught""}","experiment","","","","","","","sleigh","friend","board","plea","caught","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","456162","0.0-6.0-0.12","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1></div>","null","experiment","sort","bought","caught","taut","wart","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","478317","0.0-6.0-1.12","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","22145","phon_sim","","{""position_1"":""sort"",""position_2"":""wart"",""position_3"":""bought"",""position_4"":""caught"",""position_5"":""wart""}","experiment","","","","","","","sort","wart","bought","caught","wart","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","491322","0.0-6.0-0.13","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","null","experiment","bough","through","dough","cough","rough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","508308","0.0-6.0-1.13","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","16978","phon_sim","","{""position_1"":""bough"",""position_2"":""through"",""position_3"":""dough"",""position_4"":""cough"",""position_5"":""rough""}","experiment","","","","","","","bough","through","dough","cough","rough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","521321","0.0-6.0-0.14","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1></div>","null","experiment","board","row","plea","friend","sleigh","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","529972","0.0-6.0-1.14","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","8645","phon_sim","","{""position_1"":""board"",""position_2"":""row"",""position_3"":""plea"",""position_4"":""friend"",""position_5"":""sleigh""}","experiment","","","","","","","board","row","plea","friend","sleigh","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","542989","0.0-6.0-0.15","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1></div>","null","experiment","board","row","plea","sleigh","friend","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","550854","0.0-6.0-1.15","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","7858","phon_sim","","{""position_1"":""board"",""position_2"":""row"",""position_3"":""plea"",""position_4"":""sleigh"",""position_5"":""friend""}","experiment","","","","","","","board","row","plea","sleigh","friend","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","563871","0.0-6.0-0.16","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">taut</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1></div>","null","experiment","taut","caught","bought","sort","wart","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","44","584780","0.0-6.0-1.16","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","20901","phon_sim","","{""position_1"":""bought"",""position_2"":""caught"",""position_3"":""taut"",""position_4"":""sort"",""position_5"":""wart""}","experiment","","","","","","","bought","caught","taut","sort","wart","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","597791","0.0-6.0-0.17","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","null","experiment","wart","sort","taut","caught","bought","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","46","607892","0.0-6.0-1.17","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","10094","phon_sim","","{""position_1"":""wart"",""position_2"":""sort"",""position_3"":""taut"",""position_4"":""caught"",""position_5"":""bought""}","experiment","","","","","","","wart","sort","taut","caught","bought","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","620911","0.0-6.0-0.18","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1></div>","null","experiment","friend","board","row","plea","sleigh","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","48","630827","0.0-6.0-1.18","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","9907","phon_sim","","{""position_1"":""friend"",""position_2"":""board"",""position_3"":""row"",""position_4"":""plea"",""position_5"":""sleigh""}","experiment","","","","","","","friend","board","row","plea","sleigh","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","643841","0.0-6.0-0.19","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">dough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1></div>","null","experiment","dough","rough","bough","cough","through","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","50","651556","0.0-6.0-1.19","A2AAFWAAS9C1QC","2022-05-26T23:31:39.990Z","phon_sim-same_different-task_switching-rhyme","","7707","phon_sim","","{""position_1"":""board"",""position_2"":""row"",""position_3"":""bough"",""position_4"":""cough"",""position_5"":""through""}","experiment","","","","","","","board","row","bough","cough","through","","","","","","","","","","","","","","","","","","","","","","",""
