"event","trial","time"
"focus","0","1563"
"blur","2","25696"
"focus","2","30208"
"fullscreenenter","2","37904"
"blur","63","918047"
"focus","63","934086"
"blur","977","1867871"
"focus","977","1882159"
"blur","1029","2028463"
"focus","1029","2041567"
"blur","1136","2425657"
"focus","1136","2454965"
