"event","trial","time"
"focus","1","28118"
"fullscreenenter","2","31050"
"blur","13","146758"
"focus","13","147784"
"blur","16","192364"
"focus","16","196474"
"blur","17","201036"
"focus","17","201744"
"blur","40","651567"
"focus","40","658072"
"blur","40","668811"
"focus","40","672006"
"blur","1067","1848547"
"focus","1067","1854004"
"blur","1069","1891115"
"focus","1069","1948251"
"blur","1072","1961719"
"focus","1073","1977124"
