"event","trial","time"
"blur","1","3962"
"focus","1","21097"
"blur","1","21732"
"focus","1","51874"
"blur","2","56864"
"focus","2","154191"
"blur","2","154738"
"focus","2","256856"
"blur","2","257891"
"focus","2","283210"
"blur","2","283843"
"focus","2","295877"
"blur","2","296478"
"focus","2","416199"
"blur","2","417385"
"focus","2","767626"
"blur","2","768280"
"focus","2","771928"
"fullscreenenter","2","773051"
