"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","answer","true_neg","correct","true_pos","false_pos","false_neg","condition","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type"
"","","","","","html-keyboard-response","13","430608","0.0-6.0-0.1","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1></div>","null","experiment","friend","sleigh","row","board","plea","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","14","499058","0.0-6.0-1.1","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","68443.30000001192","phon_sim","","{""position_1"":""friend"",""position_2"":""row"",""position_3"":""sleigh"",""position_4"":""plea"",""position_5"":""bored""}","experiment","","","","","","","friend","row","sleigh","plea","bored","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","512067","0.0-6.0-0.2","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1></div>","null","experiment","wart","bought","caught","taut","sort","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","571177","0.0-6.0-1.2","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","59105.89999997616","phon_sim","","{""position_1"":""wart"",""position_2"":""bought"",""position_3"":""taught"",""position_4"":""sort"",""position_5"":""""}","experiment","","","","","","","wart","bought","taught","sort","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","584182","0.0-6.0-0.3","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">taut</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","null","experiment","taut","caught","wart","sort","bought","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","18","639627","0.0-6.0-1.3","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","55440.80000001192","phon_sim","","{""position_1"":""taut"",""position_2"":""caught"",""position_3"":""wart"",""position_4"":""sort"",""position_5"":""bought""}","experiment","","","","","","","taut","caught","wart","sort","bought","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","652632","0.0-6.0-0.4","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">through</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","through","rough","cough","bough","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","20","719720","0.0-6.0-1.4","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","67084.5","phon_sim","","{""position_1"":""through"",""position_2"":""rough"",""position_3"":""cough"",""position_4"":""bough"",""position_5"":""dough""}","experiment","","","","","","","through","rough","cough","bough","dough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","732724","0.0-6.0-0.5","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1></div>","null","experiment","sleigh","plea","row","friend","board","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","22","786349","0.0-6.0-1.5","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","53622","phon_sim","","{""position_1"":""sleigh"",""position_2"":""plea"",""position_3"":""row"",""position_4"":""friend"",""position_5"":""board""}","experiment","","","","","","","sleigh","plea","row","friend","board","","","","","","","","","","","","","","","","","","","","","","",""
