"event","trial","time"
"blur","1","2469"
"focus","1","4280"
"fullscreenenter","2","6510"
"blur","29","52747"
"focus","30","54068"
"blur","30","55829"
"focus","30","56546"
"blur","30","57462"
"focus","30","60284"
