"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_neg","false_pos"
"true","false","[]","[]","[]","preload","0","2651","0.0-0.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","450669","0.0-1.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","[{""page_index"":0,""viewing_time"":448015.3000000715}]","448016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","454783","0.0-2.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","482704","0.0-3.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","[{""page_index"":0,""viewing_time"":27918.699999928474}]","27919.299999952316","phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","495719","0.0-4.0-0.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">pen</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rig</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">day</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bar</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cow</h1></div>","null","training","pen","rig","day","bar","cow","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","511715","0.0-4.0-1.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","15988.600000023842","phon_sim","","{""position_1"":""pen"",""position_2"":""rig"",""position_3"":""day"",""position_4"":""bar"",""position_5"":""cow""}","training","","","","","","","pen","rig","day","bar","cow","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","516719","0.0-4.0-2.0","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<h1 id=""word_1"">pen</h1><h1 id=""word_2"">rig</h1><h1 id=""word_3"">day</h1><h1 id=""word_4"">bar</h1><h1 id=""word_5"">cow</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","529752","0.0-4.0-0.1","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">mad</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">man</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">map</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">mat</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">max</h1></div>","null","training","mad","man","map","mat","max","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","8","590239","0.0-4.0-1.1","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","60480.39999997616","phon_sim","","{""position_1"":""mad"",""position_2"":""man"",""position_3"":""mat"",""position_4"":""max"",""position_5"":""may""}","training","","","","","","","mad","man","mat","max","may","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","595245","0.0-4.0-2.1","A3FNC8ELMK8YJA","2022-05-19T13:39:04.935Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<h1 id=""word_1"">mad</h1><h1 id=""word_2"">man</h1><h1 id=""word_3"">map</h1><h1 id=""word_4"">mat</h1><h1 id=""word_5"">max</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
