"event","trial","time"
"blur","1","7352"
"focus","1","448359"
"fullscreenenter","2","453836"
"fullscreenexit","36","1165758"
"blur","36","1170779"
"focus","36","1583605"
"blur","54","1965771"
"focus","54","2088288"
"blur","136","2417217"
"focus","136","2591860"
"blur","167","2680866"
"focus","167","2689184"
"blur","240","2928649"
"focus","240","3029843"
"blur","240","3034316"
"focus","240","3338493"
