"event","trial","time"
"focus","1","24287"
"fullscreenenter","2","26986"
"fullscreenexit","3","49926"
"blur","3","53321"
"focus","3","78425"
"blur","409","777719"
"focus","409","788903"
"blur","417","822307"
"focus","418","824496"
"blur","462","958967"
"focus","462","979001"
"blur","505","1514804"
"focus","505","1526970"
"blur","512","1611876"
"focus","513","1619566"
