"event","trial","time"
"blur","1","7814"
"focus","1","39083"
"fullscreenenter","2","44396"
"fullscreenexit","14","237700"
"blur","14","239600"
"focus","14","241687"
"blur","20","414954"
"focus","20","441515"
"blur","36","755001"
"focus","36","783260"
"blur","115","1347660"
"focus","115","1352334"
"blur","136","1420395"
"focus","136","1504245"
"blur","725","2561061"
"focus","725","2567875"
"blur","725","2580545"
"focus","725","2940226"
