"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","condition","answer","correct","operation","trial_no","color_cue","symbol_cue","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_pos","false_neg"
"","","","","","survey-text","12","471405","0.0-6.0-1.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","36672.80000001192","phon_sim","","{""position_1"":""rough"",""position_2"":""cough"",""position_3"":""dough"",""position_4"":""through"",""position_5"":""""}","experiment","","","","","","","rough","cough","dough","through","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","484407","0.0-6.0-0.1","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">plea</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","plea","board","sleigh","friend","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","14","511813","0.0-6.0-1.1","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","27402.69999998808","phon_sim","","{""position_1"":""plea"",""position_2"":""board"",""position_3"":""sleigh"",""position_4"":""friend"",""position_5"":""row""}","experiment","","","","","","","plea","board","sleigh","friend","row","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","524815","0.0-6.0-0.2","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","board","sleigh","plea","friend","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","545970","0.0-6.0-1.2","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","21151.099999964237","phon_sim","","{""position_1"":""board"",""position_2"":""sleigh"",""position_3"":""plea"",""position_4"":""friend"",""position_5"":""row""}","experiment","","","","","","","board","sleigh","plea","friend","row","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","558976","0.0-6.0-0.3","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">rough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","rough","cough","through","bough","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","18","592462","0.0-6.0-1.3","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","33483.39999997616","phon_sim","","{""position_1"":""rough"",""position_2"":""cough"",""position_3"":""through"",""position_4"":""dough"",""position_5"":""""}","experiment","","","","","","","rough","cough","through","dough","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","605464","0.0-6.0-0.4","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","null","experiment","wart","caught","sort","taut","bought","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","20","642676","0.0-6.0-1.4","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","37208.09999996424","phon_sim","","{""position_1"":""wart"",""position_2"":""caught"",""position_3"":""sought"",""position_4"":""bought"",""position_5"":""""}","experiment","","","","","","","wart","caught","sought","bought","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","655694","0.0-6.0-0.5","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","null","experiment","sort","taut","wart","caught","bought","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","22","673902","0.0-6.0-1.5","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","18204.5","phon_sim","","{""position_1"":""wart"",""position_2"":""sort"",""position_3"":""caught"",""position_4"":""bought"",""position_5"":""""}","experiment","","","","","","","wart","sort","caught","bought","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","686904","0.0-6.0-0.6","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","null","experiment","bough","dough","cough","through","rough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","24","704976","0.0-6.0-1.6","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","18069.600000023842","phon_sim","","{""position_1"":""bough"",""position_2"":""dough"",""position_3"":""through"",""position_4"":""caught"",""position_5"":""rough""}","experiment","","","","","","","bough","dough","through","caught","rough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","717978","0.0-6.0-0.7","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1></div>","null","experiment","friend","board","row","sleigh","plea","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","740378","0.0-6.0-1.7","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","22396.600000023842","phon_sim","","{""position_1"":""friend"",""position_2"":""board"",""position_3"":""row"",""position_4"":""sleigh"",""position_5"":""plea""}","experiment","","","","","","","friend","board","row","sleigh","plea","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","753380","0.0-6.0-0.8","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","board","sleigh","friend","plea","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","772550","0.0-6.0-1.8","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","19168.30000001192","phon_sim","","{""position_1"":""board"",""position_2"":""sleigh"",""position_3"":""friend"",""position_4"":""plea"",""position_5"":""row""}","experiment","","","","","","","board","sleigh","friend","plea","row","","","","","","","","","","","","","","","","","","","","","","",""
