"event","trial","time"
"blur","2","23758"
"focus","2","585677"
"fullscreenenter","2","585785"
"blur","4","622747"
"focus","4","629612"
"blur","379","896401"
"focus","379","901646"
"blur","406","930703"
"focus","406","952444"
"blur","831","1445984"
"focus","832","1454781"
"blur","832","1466486"
"focus","832","1477107"
