"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","condition","answer","correct","operation","symbol_cue","trial_no","color_cue","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg"
"","","","","","survey-text","176","1628766","0.0-124.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","1773.7000000476837","task_switching","37","{""symbolcue_switch_ans"":""40""}","training","","","","","","","","","","","","","","","symbolcue_switch","40","true","add","+","4","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","177","1629773","0.0-125.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","178","1632086","0.0-126.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2309.899999976158","task_switching","52","{""symbolcue_switch_ans"":""49""}","training","","","","","","","","","","","","","","","symbolcue_switch","49","true","subtract","-","5","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","179","1633092","0.0-127.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","180","1634840","0.0-128.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","1744.1999999284744","task_switching","71","{""symbolcue_switch_ans"":""74""}","training","","","","","","","","","","","","","","","symbolcue_switch","74","true","add","+","6","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","181","1635846","0.0-129.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","182","1637783","0.0-130.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","1933.8999999761581","task_switching","59","{""symbolcue_switch_ans"":""62""}","training","","","","","","","","","","","","","","","symbolcue_switch","62","false","subtract","-","7","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","183","1642787","0.0-131.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkred; font-size:40px"">That was a <b>subtract</b> trial.<p> Correct answer: 56.</p><p> Next trial add 3.</p></div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","184","1644679","0.0-132.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","1888.6999999284744","task_switching","42","{""symbolcue_switch_ans"":""45""}","training","","","","","","","","","","","","","","","symbolcue_switch","45","true","add","+","8","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","185","1645683","0.0-133.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","186","1647991","0.0-134.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2305.399999976158","task_switching","22","{""symbolcue_switch_ans"":""1""}","training","","","","","","","","","","","","","","","symbolcue_switch","1","false","subtract","-","9","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","187","1652998","0.0-135.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","null","task_switching","<div style=""color:darkred; font-size:40px"">Right direction but be careful with the numbers.<p> Correct answer: 19.</p><p> Next trial add 3.</p></div>","null","training","","","","","","","","","","","","","","","symbolcue_switch","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","188","1655380","0.0-136.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","[{""page_index"":0,""viewing_time"":2381.100000023842}]","2381.600000023842","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","189","1657991","0.0-137.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2607.6999999284744","task_switching","91","{""symbolcue_switch_ans"":""94""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","94","true","add","+","0","","","","","","","","","","","","","",""
"","","","","","survey-text","190","1660287","0.0-138.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2292","task_switching","79","{""symbolcue_switch_ans"":""76""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","76","true","subtract","-","1","","","","","","","","","","","","","",""
"","","","","","survey-text","191","1662879","0.0-139.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2588.5","task_switching","88","{""symbolcue_switch_ans"":""91""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","91","true","add","+","2","","","","","","","","","","","","","",""
"","","","","","survey-text","192","1665550","0.0-140.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2666.899999976158","task_switching","70","{""symbolcue_switch_ans"":""67""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","67","true","subtract","-","3","","","","","","","","","","","","","",""
"","","","","","survey-text","193","1667936","0.0-141.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2383","task_switching","82","{""symbolcue_switch_ans"":""85""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","85","true","add","+","4","","","","","","","","","","","","","",""
"","","","","","survey-text","194","1672399","0.0-142.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","4459.399999976158","task_switching","21","{""symbolcue_switch_ans"":""18""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","18","true","subtract","-","5","","","","","","","","","","","","","",""
"","","","","","survey-text","195","1674575","0.0-143.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2171.7999999523163","task_switching","19","{""symbolcue_switch_ans"":""22""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","22","true","add","+","6","","","","","","","","","","","","","",""
"","","","","","survey-text","196","1677119","0.0-144.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2540.2999999523163","task_switching","73","{""symbolcue_switch_ans"":""70""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","70","true","subtract","-","7","","","","","","","","","","","","","",""
"","","","","","survey-text","197","1679167","0.0-145.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2044.1000000238419","task_switching","59","{""symbolcue_switch_ans"":""62""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","62","true","add","+","8","","","","","","","","","","","","","",""
"","","","","","survey-text","198","1682335","0.0-146.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","3164.2999999523163","task_switching","72","{""symbolcue_switch_ans"":""69""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","69","true","subtract","-","9","","","","","","","","","","","","","",""
"","","","","","survey-text","199","1684559","0.0-147.0","A1WH32GYQOHIRQ","2022-05-18T15:31:36.495Z","phon_sim-task_switching-rhyme-same_different","","2219.899999976158","task_switching","30","{""symbolcue_switch_ans"":""33""}","experiment","","","","","","","","","","","","","","","symbolcue_switch","33","true","add","+","10","","","","","","","","","","","","","",""
