"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","wait_time","correct","phase","image_1","image_2","cor_key","type","question_order","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","condition","answer","operation","symbol_cue","trial_no","color_cue","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_neg","false_pos"
"","","","","","html-keyboard-response","14","116097","0.0-4.0-1.3","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","categorize-html","15","118308","0.0-4.0-2.3","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1209.7999999970198","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/house.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/mouse.png"" width=""300""></div>","arrowup","","true","training","visual/house.png","visual/mouse.png","ArrowUp","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","16","120620","0.0-5.0","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","[{""page_index"":0,""viewing_time"":2311.5}]","2311.60000000149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","121620","0.0-6.0-0.0","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","122121","0.0-6.0-1.0","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","124006","0.0-6.0-2.0","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1884.2000000029802","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/cake.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/rake.png"" width=""300""></div>","arrowdown","","false","experiment","visual/cake.png","visual/rake.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","124257","0.0-6.0-0.1","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","124757","0.0-6.0-1.1","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","126011","0.0-6.0-2.1","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1253.6000000014901","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/soap.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/rope.png"" width=""300""></div>","arrowup","","true","experiment","visual/soap.png","visual/rope.png","ArrowUp","non-ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","126762","0.0-6.0-0.2","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","127262","0.0-6.0-1.2","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","128338","0.0-6.0-2.2","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1075.6000000014901","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/flag.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/bag.png"" width=""300""></div>","arrowup","","true","experiment","visual/flag.png","visual/bag.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","128589","0.0-6.0-0.3","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","129089","0.0-6.0-1.3","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","130408","0.0-6.0-2.3","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1318.6000000014901","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/dart.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/tie.png"" width=""300""></div>","arrowdown","","true","experiment","visual/dart.png","visual/tie.png","ArrowDown","NR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","131409","0.0-6.0-0.4","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","131909","0.0-6.0-1.4","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","133705","0.0-6.0-2.4","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","1795.7999999970198","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/wave.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/cave.png"" width=""300""></div>","arrowdown","","false","experiment","visual/wave.png","visual/cave.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","134456","0.0-6.0-0.5","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","134956","0.0-6.0-1.5","A2M183CETUMR96","2022-05-26T23:55:49.603Z","rhyme-phon_sim-task_switching-same_different","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
