"event","trial","time"
"blur","1","35140"
"focus","1","38278"
"blur","1","39726"
"focus","1","73650"
"blur","1","97300"
"focus","1","101931"
"fullscreenenter","2","205936"
"blur","926","7031723"
"focus","926","8910869"
