"ID";"Visual";"Verbal";"Manipulation";"Orthographic"
"160";160;4;4.08;4;4
"161";161;4.5;3.17;3.38;1.43
"162";162;2.9;2.67;2.13;2.86
"163";163;4.4;3.83;4.13;4.57
"164";164;3.3;3.92;2.25;3.43
"165";165;4;3;2.75;2.14
"166";166;4.5;4.5;4.38;4.57
"167";167;3.5;3.25;3.38;3.29
"168";168;4.8;4;4.88;2.71
"169";169;4.3;3.92;4;4.14
"170";170;3.9;3.17;4;3.43
"171";171;4.1;4.17;3.25;4.14
"172";172;3;3.08;3;3.14
"173";173;3;3.58;3;4
"174";174;3.6;3.58;3.25;3.57
"175";175;3.3;3.58;3.25;3.43
"176";176;3.9;4.17;3.5;2.71
"177";177;4.3;3.75;4.88;2.29
"178";178;4.3;3.92;3.25;4
"179";179;3.6;3.83;2.88;3
"180";180;3.5;3.42;3.5;3.86
"181";181;3.9;3.33;4.13;2.43
"182";182;4.5;4.33;4.13;4.29
"183";183;4.5;4.42;3.88;4.29
"184";184;3.3;3.17;3;3
"185";185;4.7;4.17;3.75;2.43
"186";186;4;3.5;3;2.14
"187";187;4.1;3.08;2.75;4.29
"188";188;2.6;3.25;2.5;2.29
"189";189;3.1;3.42;3.38;3.14
"190";190;4.5;4;4;4.14
"191";191;2.9;2.58;3;2.43
"192";192;4.3;3.58;4.13;4
"193";193;4.4;4;3.88;4.29
"194";194;4.3;4.33;4.25;3.57
"195";195;3.4;3.42;3.5;4.14
"196";196;3.6;3.83;4.38;2.57
"197";197;3.9;4;4;4.29
"198";198;2.9;2.92;2.88;3.14
"199";199;3.3;3.58;3.63;3.86
"200";200;3.7;3.92;2.25;1.57
"201";201;4.8;3.42;2;1.57
"202";202;4.2;3.75;2.88;3.57
"203";203;3.7;3.33;3.63;3.14
"204";204;3.8;3.67;3.38;4.14
"205";205;4.6;3.25;2.63;3.86
"206";206;4.2;4.08;3.88;4.29
"207";207;4.2;3.83;4.13;4.29
"208";208;3.8;3.58;2.88;4.14
"209";209;4;4;4.25;1.57
"210";210;3.6;3.58;4.13;2.43
"211";211;4;3.33;3.38;4.14
"212";212;4.4;4.58;2.88;2.29
"213";213;3.2;2.17;2.75;1.43
"214";214;3.5;3.42;2.75;3
"215";215;4;3.5;3.63;4.29
"216";216;3.6;3.83;2.75;2.29
"217";217;3;3.33;2.88;2.86
"218";218;3.4;3.08;2.88;2.43
"219";219;4.5;4.75;5;2.29
"220";220;4.9;4.17;4.38;4.43
"221";221;3.3;3.83;4.25;1.57
"222";222;3.3;4.17;3.75;1.57
"223";223;4.2;3.58;3.63;3.29
"224";224;4.6;4.25;3.63;4.43
"225";225;3.9;3.08;2.88;2.86
"226";226;3.6;3.08;3.75;3.71
"227";227;3.9;3.58;3.75;4.14
"228";228;3.3;1.58;2.38;1
"229";229;4;3.5;3.88;3.71
"230";230;4.6;3.58;2.75;2
"231";231;4.5;4.17;4.25;4.57
"232";232;3.9;3.58;2.38;3.43
"233";233;2.6;2.17;2.25;1.86
"234";234;4.4;4.17;4;4.14
"235";235;4;3.5;3.75;3.43
"236";236;4;3.92;3.63;4
"237";237;2.6;1.92;3.38;1.86
"238";238;4.2;3.67;3.13;3.71
"239";239;2.1;3.83;2.38;2.29
"240";240;3.1;4.08;2.25;3
"241";241;4.1;3.5;3.63;3.86
"242";242;3.9;3.92;3.25;3.71
"243";243;4.5;4.25;3.88;4.43
"244";244;3.7;3.5;3.38;3.71
"245";245;3.9;3.92;3.25;3.14
"246";246;3.8;3.58;3.5;3.57
"247";247;4;4.33;3.25;4.57
"248";248;3.7;3.42;3.38;3.43
"249";249;3.9;3.75;3.63;3.43
"250";250;3.6;4;3.63;4.14
"251";251;4.3;4.08;3.5;3.86
"252";252;4.9;3.67;3.13;1
"253";253;4.1;4.25;3.38;4.14
"254";254;3.8;4.08;3.38;3.57
"255";255;4.5;3.42;3.38;3
"256";256;2.8;3.08;3.88;2.86
"257";257;3.9;3.83;3.38;2.86
"258";258;3.6;3;3.25;3
"259";259;4;3.42;4.13;2.14
"260";260;4.4;4.17;3;3.71
"261";261;4.3;4.08;3.75;4
"262";262;4.5;4.25;4.13;4
"263";263;3.5;3.42;3.38;3.43
