"","event","trial","time","participant"
"496","fullscreenenter",2,28777,"A2WX434EAQOE29"
"497","blur",2,37265,"A35CHBMYRAXDNZ"
"498","focus",2,38574,"A35CHBMYRAXDNZ"
"499","blur",2,85711,"A35CHBMYRAXDNZ"
"500","focus",2,549203,"A35CHBMYRAXDNZ"
"501","fullscreenenter",2,551327,"A35CHBMYRAXDNZ"
"502","fullscreenexit",371,1587186,"A35CHBMYRAXDNZ"
"503","blur",371,1588657,"A35CHBMYRAXDNZ"
"504","focus",371,1914444,"A35CHBMYRAXDNZ"
"505","blur",371,1915348,"A35CHBMYRAXDNZ"
"506","focus",371,2088241,"A35CHBMYRAXDNZ"
"507","blur",394,2102889,"A35CHBMYRAXDNZ"
"508","focus",395,2165662,"A35CHBMYRAXDNZ"
"509","blur",398,2168941,"A35CHBMYRAXDNZ"
"510","focus",399,2195401,"A35CHBMYRAXDNZ"
"511","blur",407,2226494,"A35CHBMYRAXDNZ"
"512","focus",407,2229608,"A35CHBMYRAXDNZ"
"513","blur",407,2240493,"A35CHBMYRAXDNZ"
"514","focus",407,2546899,"A35CHBMYRAXDNZ"
"515","blur",407,2567809,"A35CHBMYRAXDNZ"
"516","focus",407,2719886,"A35CHBMYRAXDNZ"
"517","blur",407,2726974,"A35CHBMYRAXDNZ"
"518","focus",407,2842914,"A35CHBMYRAXDNZ"
"519","blur",457,2881050,"A35CHBMYRAXDNZ"
"520","focus",457,3020145,"A35CHBMYRAXDNZ"
"521","blur",473,3034298,"A35CHBMYRAXDNZ"
"522","focus",473,3102035,"A35CHBMYRAXDNZ"
"523","blur",565,3211206,"A35CHBMYRAXDNZ"
"524","focus",565,3311844,"A35CHBMYRAXDNZ"
"525","blur",565,3312786,"A35CHBMYRAXDNZ"
"526","focus",565,3317871,"A35CHBMYRAXDNZ"
"527","blur",865,4096274,"A35CHBMYRAXDNZ"
"528","focus",865,4099025,"A35CHBMYRAXDNZ"
"529","blur",1136,5220906,"A35CHBMYRAXDNZ"
"530","focus",1136,5230940,"A35CHBMYRAXDNZ"
"531","blur",1191,5305484,"A35CHBMYRAXDNZ"
"532","focus",1191,5306394,"A35CHBMYRAXDNZ"
"533","fullscreenenter",2,9466,"A3DUPRZSMU9W5R"
"534","fullscreenexit",3,11125,"A3DUPRZSMU9W5R"
"535","blur",523,1274461,"A3DUPRZSMU9W5R"
"536","focus",523,1275612,"A3DUPRZSMU9W5R"
"537","fullscreenenter",2,32663,"A12HZGOZQD5YK7"
"538","fullscreenenter",2,52328,"A19X8IA9EKC3XH"
"539","blur",3,57968,"A19X8IA9EKC3XH"
"540","focus",3,62813,"A19X8IA9EKC3XH"
"541","blur",8,168132,"A19X8IA9EKC3XH"
"542","focus",8,170859,"A19X8IA9EKC3XH"
"543","blur",9,181566,"A19X8IA9EKC3XH"
"544","focus",9,182125,"A19X8IA9EKC3XH"
"545","blur",28,441963,"A19X8IA9EKC3XH"
"546","focus",28,444059,"A19X8IA9EKC3XH"
"547","blur",46,711138,"A19X8IA9EKC3XH"
"548","focus",46,714251,"A19X8IA9EKC3XH"
"549","blur",63,992342,"A19X8IA9EKC3XH"
"550","focus",63,995953,"A19X8IA9EKC3XH"
"551","blur",192,1288576,"A19X8IA9EKC3XH"
"552","focus",192,1291352,"A19X8IA9EKC3XH"
"553","blur",287,1554140,"A19X8IA9EKC3XH"
"554","focus",288,1563766,"A19X8IA9EKC3XH"
"555","blur",453,1835287,"A19X8IA9EKC3XH"
"556","focus",453,1838699,"A19X8IA9EKC3XH"
"557","blur",784,2086006,"A19X8IA9EKC3XH"
"558","focus",784,2088849,"A19X8IA9EKC3XH"
"559","blur",1136,2374611,"A19X8IA9EKC3XH"
"560","focus",1136,2397631,"A19X8IA9EKC3XH"
"561","focus",0,1955,"A2NAKIXS3DVGAA"
"562","blur",1,7370,"A2NAKIXS3DVGAA"
"563","focus",1,14396,"A2NAKIXS3DVGAA"
"564","blur",2,16583,"A2NAKIXS3DVGAA"
"565","focus",2,17980,"A2NAKIXS3DVGAA"
"566","fullscreenenter",2,18026,"A2NAKIXS3DVGAA"
"567","blur",3,22172,"A2NAKIXS3DVGAA"
"568","focus",3,78446,"A2NAKIXS3DVGAA"
"569","blur",3,80712,"A2NAKIXS3DVGAA"
"570","focus",3,82651,"A2NAKIXS3DVGAA"
"571","blur",3,83721,"A2NAKIXS3DVGAA"
"572","focus",3,91341,"A2NAKIXS3DVGAA"
"573","blur",4,95369,"A2NAKIXS3DVGAA"
"574","focus",4,98330,"A2NAKIXS3DVGAA"
"575","blur",4,99206,"A2NAKIXS3DVGAA"
"576","focus",4,100440,"A2NAKIXS3DVGAA"
"577","blur",4,101736,"A2NAKIXS3DVGAA"
"578","focus",4,104523,"A2NAKIXS3DVGAA"
"579","blur",6,118199,"A2NAKIXS3DVGAA"
"580","focus",7,120601,"A2NAKIXS3DVGAA"
"581","blur",9,141132,"A2NAKIXS3DVGAA"
"582","focus",9,143498,"A2NAKIXS3DVGAA"
"583","blur",13,177194,"A2NAKIXS3DVGAA"
"584","focus",13,178184,"A2NAKIXS3DVGAA"
"585","blur",15,199720,"A2NAKIXS3DVGAA"
"586","focus",15,200520,"A2NAKIXS3DVGAA"
"587","blur",17,220392,"A2NAKIXS3DVGAA"
"588","focus",17,221318,"A2NAKIXS3DVGAA"
"589","blur",19,244616,"A2NAKIXS3DVGAA"
"590","focus",19,246071,"A2NAKIXS3DVGAA"
"591","blur",21,265062,"A2NAKIXS3DVGAA"
"592","focus",21,265816,"A2NAKIXS3DVGAA"
"593","blur",23,290565,"A2NAKIXS3DVGAA"
"594","focus",23,291962,"A2NAKIXS3DVGAA"
"595","blur",24,317312,"A2NAKIXS3DVGAA"
"596","focus",24,319578,"A2NAKIXS3DVGAA"
"597","blur",24,321279,"A2NAKIXS3DVGAA"
"598","focus",24,349086,"A2NAKIXS3DVGAA"
"599","blur",25,350997,"A2NAKIXS3DVGAA"
"600","focus",25,352166,"A2NAKIXS3DVGAA"
"601","blur",27,375812,"A2NAKIXS3DVGAA"
"602","focus",27,376504,"A2NAKIXS3DVGAA"
"603","blur",29,402966,"A2NAKIXS3DVGAA"
"604","focus",29,403700,"A2NAKIXS3DVGAA"
"605","blur",31,446981,"A2NAKIXS3DVGAA"
"606","focus",31,448150,"A2NAKIXS3DVGAA"
"607","blur",33,478565,"A2NAKIXS3DVGAA"
"608","focus",33,479479,"A2NAKIXS3DVGAA"
"609","blur",35,500019,"A2NAKIXS3DVGAA"
"610","focus",35,500999,"A2NAKIXS3DVGAA"
"611","blur",35,509878,"A2NAKIXS3DVGAA"
"612","focus",35,511959,"A2NAKIXS3DVGAA"
"613","blur",37,521540,"A2NAKIXS3DVGAA"
"614","focus",37,524407,"A2NAKIXS3DVGAA"
"615","blur",37,527064,"A2NAKIXS3DVGAA"
"616","focus",37,528787,"A2NAKIXS3DVGAA"
"617","blur",37,533235,"A2NAKIXS3DVGAA"
"618","focus",38,534610,"A2NAKIXS3DVGAA"
"619","blur",39,544235,"A2NAKIXS3DVGAA"
"620","focus",39,550516,"A2NAKIXS3DVGAA"
"621","blur",39,551301,"A2NAKIXS3DVGAA"
"622","focus",40,558851,"A2NAKIXS3DVGAA"
"623","blur",40,562531,"A2NAKIXS3DVGAA"
"624","focus",40,563988,"A2NAKIXS3DVGAA"
"625","blur",40,566340,"A2NAKIXS3DVGAA"
"626","focus",40,568466,"A2NAKIXS3DVGAA"
"627","blur",43,598370,"A2NAKIXS3DVGAA"
"628","focus",43,599637,"A2NAKIXS3DVGAA"
"629","blur",47,651238,"A2NAKIXS3DVGAA"
"630","focus",47,652931,"A2NAKIXS3DVGAA"
"631","blur",49,674467,"A2NAKIXS3DVGAA"
"632","focus",49,677300,"A2NAKIXS3DVGAA"
"633","blur",50,694667,"A2NAKIXS3DVGAA"
"634","focus",50,737786,"A2NAKIXS3DVGAA"
"635","blur",51,739472,"A2NAKIXS3DVGAA"
"636","focus",51,741263,"A2NAKIXS3DVGAA"
"637","blur",53,761491,"A2NAKIXS3DVGAA"
"638","focus",53,764848,"A2NAKIXS3DVGAA"
"639","blur",55,785201,"A2NAKIXS3DVGAA"
"640","focus",55,787440,"A2NAKIXS3DVGAA"
"641","blur",57,811040,"A2NAKIXS3DVGAA"
"642","focus",57,812367,"A2NAKIXS3DVGAA"
"643","blur",62,844386,"A2NAKIXS3DVGAA"
"644","focus",62,845329,"A2NAKIXS3DVGAA"
"645","blur",84,891711,"A2NAKIXS3DVGAA"
"646","focus",84,893171,"A2NAKIXS3DVGAA"
"647","blur",115,955794,"A2NAKIXS3DVGAA"
"648","focus",115,957105,"A2NAKIXS3DVGAA"
"649","blur",136,993360,"A2NAKIXS3DVGAA"
"650","focus",136,994575,"A2NAKIXS3DVGAA"
"651","blur",167,1057629,"A2NAKIXS3DVGAA"
"652","focus",167,1082273,"A2NAKIXS3DVGAA"
"653","blur",188,1120492,"A2NAKIXS3DVGAA"
"654","focus",188,1122099,"A2NAKIXS3DVGAA"
"655","blur",219,1193707,"A2NAKIXS3DVGAA"
"656","focus",219,1194669,"A2NAKIXS3DVGAA"
"657","blur",240,1241355,"A2NAKIXS3DVGAA"
"658","focus",240,1258305,"A2NAKIXS3DVGAA"
"659","blur",271,1329082,"A2NAKIXS3DVGAA"
"660","focus",271,1331373,"A2NAKIXS3DVGAA"
"661","blur",292,1383870,"A2NAKIXS3DVGAA"
"662","focus",292,1385208,"A2NAKIXS3DVGAA"
"663","blur",292,1396795,"A2NAKIXS3DVGAA"
"664","focus",292,1398200,"A2NAKIXS3DVGAA"
"665","blur",323,1467448,"A2NAKIXS3DVGAA"
"666","focus",323,1468666,"A2NAKIXS3DVGAA"
"667","blur",326,1476985,"A2NAKIXS3DVGAA"
"668","focus",326,1859626,"A2NAKIXS3DVGAA"
"669","blur",326,1861957,"A2NAKIXS3DVGAA"
"670","focus",326,1932521,"A2NAKIXS3DVGAA"
"671","blur",339,1973667,"A2NAKIXS3DVGAA"
"672","focus",339,1974706,"A2NAKIXS3DVGAA"
"673","blur",506,2172290,"A2NAKIXS3DVGAA"
"674","focus",507,2173539,"A2NAKIXS3DVGAA"
"675","blur",523,2194224,"A2NAKIXS3DVGAA"
"676","focus",523,2195520,"A2NAKIXS3DVGAA"
"677","blur",523,2209552,"A2NAKIXS3DVGAA"
"678","focus",523,2210512,"A2NAKIXS3DVGAA"
"679","blur",524,2218256,"A2NAKIXS3DVGAA"
"680","focus",524,2220930,"A2NAKIXS3DVGAA"
"681","blur",549,2242703,"A2NAKIXS3DVGAA"
"682","focus",550,2243539,"A2NAKIXS3DVGAA"
"683","blur",565,2253328,"A2NAKIXS3DVGAA"
"684","focus",566,2254303,"A2NAKIXS3DVGAA"
"685","blur",581,2263856,"A2NAKIXS3DVGAA"
"686","focus",582,2264645,"A2NAKIXS3DVGAA"
"687","blur",585,2266623,"A2NAKIXS3DVGAA"
"688","focus",586,2267942,"A2NAKIXS3DVGAA"
"689","blur",593,2271655,"A2NAKIXS3DVGAA"
"690","focus",594,2273128,"A2NAKIXS3DVGAA"
"691","blur",597,2275198,"A2NAKIXS3DVGAA"
"692","focus",598,2276345,"A2NAKIXS3DVGAA"
"693","blur",605,2280776,"A2NAKIXS3DVGAA"
"694","focus",606,2281721,"A2NAKIXS3DVGAA"
"695","blur",609,2283173,"A2NAKIXS3DVGAA"
"696","focus",610,2285271,"A2NAKIXS3DVGAA"
"697","blur",617,2290608,"A2NAKIXS3DVGAA"
"698","focus",618,2291941,"A2NAKIXS3DVGAA"
"699","blur",625,2296449,"A2NAKIXS3DVGAA"
"700","focus",626,2297833,"A2NAKIXS3DVGAA"
"701","blur",633,2301616,"A2NAKIXS3DVGAA"
"702","focus",634,2304057,"A2NAKIXS3DVGAA"
"703","blur",641,2308202,"A2NAKIXS3DVGAA"
"704","focus",642,2310263,"A2NAKIXS3DVGAA"
"705","blur",645,2311710,"A2NAKIXS3DVGAA"
"706","focus",646,2313410,"A2NAKIXS3DVGAA"
"707","blur",657,2320584,"A2NAKIXS3DVGAA"
"708","focus",658,2322584,"A2NAKIXS3DVGAA"
"709","blur",661,2323622,"A2NAKIXS3DVGAA"
"710","focus",662,2325242,"A2NAKIXS3DVGAA"
"711","blur",725,2369088,"A2NAKIXS3DVGAA"
"712","focus",725,2386034,"A2NAKIXS3DVGAA"
"713","blur",834,2457276,"A2NAKIXS3DVGAA"
"714","focus",835,2458591,"A2NAKIXS3DVGAA"
"715","blur",926,2517661,"A2NAKIXS3DVGAA"
"716","focus",926,2538985,"A2NAKIXS3DVGAA"
"717","blur",926,2540043,"A2NAKIXS3DVGAA"
"718","focus",926,2544250,"A2NAKIXS3DVGAA"
"719","blur",926,2545360,"A2NAKIXS3DVGAA"
"720","focus",926,2549062,"A2NAKIXS3DVGAA"
"721","blur",926,2550188,"A2NAKIXS3DVGAA"
"722","focus",926,2565178,"A2NAKIXS3DVGAA"
"723","blur",926,2565959,"A2NAKIXS3DVGAA"
"724","focus",926,2601553,"A2NAKIXS3DVGAA"
"725","blur",1004,2676251,"A2NAKIXS3DVGAA"
"726","focus",1005,2676700,"A2NAKIXS3DVGAA"
"727","blur",1008,2678553,"A2NAKIXS3DVGAA"
"728","focus",1009,2679356,"A2NAKIXS3DVGAA"
"729","blur",1100,2743658,"A2NAKIXS3DVGAA"
"730","focus",1101,2744501,"A2NAKIXS3DVGAA"
"731","blur",1169,2792608,"A2NAKIXS3DVGAA"
"732","focus",1170,2793371,"A2NAKIXS3DVGAA"
"733","blur",1269,2859392,"A2NAKIXS3DVGAA"
"734","focus",1270,2860243,"A2NAKIXS3DVGAA"
"735","blur",1329,2902087,"A2NAKIXS3DVGAA"
"736","focus",1329,2906621,"A2NAKIXS3DVGAA"
"737","blur",1,5923,"A341XKSRZ58FJK"
"738","focus",1,12205,"A341XKSRZ58FJK"
"739","blur",1,13377,"A341XKSRZ58FJK"
"740","focus",1,14029,"A341XKSRZ58FJK"
"741","fullscreenenter",2,22016,"A341XKSRZ58FJK"
"742","blur",1128,2089517,"A341XKSRZ58FJK"
"743","focus",1128,2091581,"A341XKSRZ58FJK"
"744","focus",0,949,"A38OPVI04AH4JG"
"745","blur",0,2518,"A38OPVI04AH4JG"
"746","focus",1,83218,"A38OPVI04AH4JG"
"747","blur",1,92589,"A38OPVI04AH4JG"
"748","focus",1,94142,"A38OPVI04AH4JG"
"749","fullscreenenter",2,97964,"A38OPVI04AH4JG"
"750","focus",0,943,"A3I40B0FATY8VH"
"751","fullscreenenter",2,8368,"A3I40B0FATY8VH"
"752","fullscreenexit",1313,1863006,"A3I40B0FATY8VH"
"753","blur",1323,1964196,"A3I40B0FATY8VH"
"754","focus",1323,1984555,"A3I40B0FATY8VH"
"755","fullscreenenter",2,13581,"A3T01NM4993LZE"
"756","blur",214,362193,"A3T01NM4993LZE"
"757","focus",214,363309,"A3T01NM4993LZE"
"758","blur",1174,1729928,"A3T01NM4993LZE"
"759","focus",1174,1730872,"A3T01NM4993LZE"
"760","fullscreenenter",2,18809,"AB09F0Q4T10TE"
"761","fullscreenexit",2,19531,"AB09F0Q4T10TE"
"762","blur",274,799852,"AB09F0Q4T10TE"
"763","focus",274,841197,"AB09F0Q4T10TE"
"764","blur",274,842357,"AB09F0Q4T10TE"
"765","focus",274,849825,"AB09F0Q4T10TE"
"766","blur",305,1070171,"AB09F0Q4T10TE"
"767","focus",305,1141997,"AB09F0Q4T10TE"
"768","blur",305,1158984,"AB09F0Q4T10TE"
"769","focus",305,1167350,"AB09F0Q4T10TE"
"770","blur",326,1385871,"AB09F0Q4T10TE"
"771","focus",326,1397798,"AB09F0Q4T10TE"
"772","blur",327,1405120,"AB09F0Q4T10TE"
"773","focus",327,1406346,"AB09F0Q4T10TE"
"774","blur",409,1721627,"AB09F0Q4T10TE"
"775","focus",409,1739080,"AB09F0Q4T10TE"
"776","blur",471,2137077,"AB09F0Q4T10TE"
"777","focus",471,2138449,"AB09F0Q4T10TE"
"778","blur",478,2218260,"AB09F0Q4T10TE"
"779","focus",479,2229361,"AB09F0Q4T10TE"
"780","blur",480,2237637,"AB09F0Q4T10TE"
"781","focus",481,2251348,"AB09F0Q4T10TE"
"782","blur",488,2338246,"AB09F0Q4T10TE"
"783","focus",489,2351994,"AB09F0Q4T10TE"
"784","blur",490,2359547,"AB09F0Q4T10TE"
"785","focus",491,2373510,"AB09F0Q4T10TE"
"786","blur",494,2408350,"AB09F0Q4T10TE"
"787","focus",495,2422041,"AB09F0Q4T10TE"
"788","blur",496,2430277,"AB09F0Q4T10TE"
"789","focus",497,2443592,"AB09F0Q4T10TE"
"790","blur",498,2451792,"AB09F0Q4T10TE"
"791","focus",499,2464663,"AB09F0Q4T10TE"
"792","blur",508,2579544,"AB09F0Q4T10TE"
"793","focus",509,2593480,"AB09F0Q4T10TE"
"794","blur",510,2601311,"AB09F0Q4T10TE"
"795","focus",511,2613983,"AB09F0Q4T10TE"
"796","blur",512,2626356,"AB09F0Q4T10TE"
"797","focus",513,2639404,"AB09F0Q4T10TE"
"798","blur",513,2654058,"AB09F0Q4T10TE"
"799","focus",513,2656288,"AB09F0Q4T10TE"
"800","blur",514,2664058,"AB09F0Q4T10TE"
"801","focus",515,2676875,"AB09F0Q4T10TE"
"802","blur",516,2684918,"AB09F0Q4T10TE"
"803","focus",517,2698428,"AB09F0Q4T10TE"
"804","blur",518,2705470,"AB09F0Q4T10TE"
"805","focus",519,2719132,"AB09F0Q4T10TE"
"806","fullscreenenter",2,18489,"AIA7RZSAONU5M"
"807","fullscreenenter",2,23691,"AN4P0SU1YSPF2"
"808","blur",212,781924,"AN4P0SU1YSPF2"
"809","focus",212,819750,"AN4P0SU1YSPF2"
"810","blur",1114,4106070,"AN4P0SU1YSPF2"
"811","focus",1114,4817757,"AN4P0SU1YSPF2"
"812","blur",1119,4882852,"AN4P0SU1YSPF2"
"813","focus",1120,4896621,"AN4P0SU1YSPF2"
"814","fullscreenexit",1136,5078770,"AN4P0SU1YSPF2"
"815","blur",1136,5080817,"AN4P0SU1YSPF2"
"816","focus",1136,5083467,"AN4P0SU1YSPF2"
"817","blur",1136,5110685,"AN4P0SU1YSPF2"
"818","focus",1136,5196828,"AN4P0SU1YSPF2"
"819","blur",1136,5197882,"AN4P0SU1YSPF2"
"820","focus",1136,5198971,"AN4P0SU1YSPF2"
"821","blur",1136,5198978,"AN4P0SU1YSPF2"
"822","focus",1136,8083403,"AN4P0SU1YSPF2"
"823","blur",1136,8083403,"AN4P0SU1YSPF2"
"824","focus",1136,8091774,"AN4P0SU1YSPF2"
"825","focus",0,526,"AXPZAP62ZYWP8"
"826","blur",0,1207,"AXPZAP62ZYWP8"
"827","focus",1,7434,"AXPZAP62ZYWP8"
"828","fullscreenenter",2,10718,"AXPZAP62ZYWP8"
"829","fullscreenenter",2,25098,"A2RRK8SV0VBLTJ"
"830","fullscreenenter",2,16103,"A34LSCB90T5KYE"
"831","focus",0,3429,"A38ZV8LBZ034IZ"
"832","fullscreenenter",2,10541,"A38ZV8LBZ034IZ"
"833","fullscreenexit",205,203697,"A38ZV8LBZ034IZ"
"834","blur",205,205619,"A38ZV8LBZ034IZ"
"835","focus",205,527494,"A38ZV8LBZ034IZ"
"836","blur",205,948330,"A38ZV8LBZ034IZ"
"837","focus",205,950770,"A38ZV8LBZ034IZ"
"838","blur",872,2125628,"A38ZV8LBZ034IZ"
"839","focus",872,2127097,"A38ZV8LBZ034IZ"
"840","fullscreenenter",2,21449,"AMELYCC59JKB0"
"841","focus",0,12523,"AT6OT5K5Z4V0J"
"842","blur",1,23310,"AT6OT5K5Z4V0J"
"843","focus",1,27501,"AT6OT5K5Z4V0J"
"844","blur",2,81237,"AT6OT5K5Z4V0J"
"845","focus",2,85040,"AT6OT5K5Z4V0J"
"846","fullscreenenter",2,86905,"AT6OT5K5Z4V0J"
"847","blur",3,93999,"AT6OT5K5Z4V0J"
"848","focus",3,99299,"AT6OT5K5Z4V0J"
"849","blur",267,913084,"AT6OT5K5Z4V0J"
"850","focus",267,919728,"AT6OT5K5Z4V0J"
"851","blur",464,1233655,"AT6OT5K5Z4V0J"
"852","focus",464,1238722,"AT6OT5K5Z4V0J"
"853","blur",481,1511294,"AT6OT5K5Z4V0J"
"854","focus",481,1511295,"AT6OT5K5Z4V0J"
"855","blur",481,1511534,"AT6OT5K5Z4V0J"
"856","focus",481,1511536,"AT6OT5K5Z4V0J"
"857","blur",481,1511758,"AT6OT5K5Z4V0J"
"858","focus",481,1511760,"AT6OT5K5Z4V0J"
"859","blur",481,1511989,"AT6OT5K5Z4V0J"
"860","focus",481,1511991,"AT6OT5K5Z4V0J"
"861","blur",523,2310909,"AT6OT5K5Z4V0J"
"862","focus",523,2315342,"AT6OT5K5Z4V0J"
"863","blur",524,2339849,"AT6OT5K5Z4V0J"
"864","focus",524,2344065,"AT6OT5K5Z4V0J"
"865","blur",927,2688581,"AT6OT5K5Z4V0J"
"866","focus",927,2694264,"AT6OT5K5Z4V0J"
"867","fullscreenenter",2,61649,"AWAW665TQQP2F"
"868","fullscreenenter",2,15092,"ARWF605I7RWM7"
"869","fullscreenexit",264,939620,"ARWF605I7RWM7"
"870","blur",264,939916,"ARWF605I7RWM7"
"871","focus",264,940772,"ARWF605I7RWM7"
"872","blur",264,943133,"ARWF605I7RWM7"
"873","focus",264,1030689,"ARWF605I7RWM7"
"874","blur",264,1032031,"ARWF605I7RWM7"
"875","focus",264,1032695,"ARWF605I7RWM7"
"876","blur",465,1167803,"ARWF605I7RWM7"
"877","focus",465,1168798,"ARWF605I7RWM7"
"878","blur",872,1450125,"ARWF605I7RWM7"
"879","focus",872,1462991,"ARWF605I7RWM7"
"880","blur",925,1624865,"ARWF605I7RWM7"
"881","focus",925,1663250,"ARWF605I7RWM7"
"882","blur",957,1761039,"ARWF605I7RWM7"
"883","focus",957,1761982,"ARWF605I7RWM7"
"884","blur",978,1844093,"ARWF605I7RWM7"
"885","focus",978,1847998,"ARWF605I7RWM7"
"886","blur",1045,2039991,"ARWF605I7RWM7"
"887","focus",1045,2040609,"ARWF605I7RWM7"
"888","blur",1091,2202493,"ARWF605I7RWM7"
"889","focus",1092,2206903,"ARWF605I7RWM7"
"890","blur",1098,2230073,"ARWF605I7RWM7"
"891","focus",1098,2230289,"ARWF605I7RWM7"
"892","fullscreenenter",2,7225,"77837"
"893","fullscreenexit",5,23839,"77837"
"894","blur",5,23842,"77837"
"895","focus",5,30027,"77837"
"896","blur",5,46402,"77837"
"897","focus",5,47287,"77837"
"898","blur",50,600386,"77837"
"899","focus",50,601153,"77837"
"900","fullscreenenter",2,30447,"78304"
"901","fullscreenenter",2,26366,"80623"
"902","blur",1105,1376039,"80623"
"903","fullscreenexit",1105,1383082,"80623"
"904","focus",1105,1383128,"80623"
"905","focus",0,2,"77866"
"906","fullscreenenter",2,49812,"77866"
"907","blur",2,59718,"78099"
"908","focus",2,63408,"78099"
"909","fullscreenenter",2,65203,"78099"
"910","fullscreenexit",160,795950,"78099"
"911","blur",160,806958,"78099"
"912","focus",160,810565,"78099"
"913","blur",872,1841980,"78099"
"914","focus",872,1867813,"78099"
"915","blur",872,1873220,"78099"
"916","focus",872,2497231,"78099"
"917","blur",1073,2637576,"78099"
"918","focus",1073,2639419,"78099"
"919","blur",1073,2645028,"78099"
"920","focus",1073,2887993,"78099"
"921","blur",1073,2891202,"78099"
"922","focus",1073,2891936,"78099"
"923","blur",1073,2891941,"78099"
"924","focus",1073,2893822,"78099"
"925","blur",1073,2893824,"78099"
"926","focus",1073,13848009,"78099"
"927","blur",1,24559,"79178"
"928","focus",1,1030396,"79178"
"929","fullscreenenter",2,1037270,"79178"
"930","fullscreenexit",205,1202681,"79178"
"931","blur",205,1203960,"79178"
"932","focus",205,1259160,"79178"
"933","blur",205,1389459,"79178"
"934","focus",205,1863394,"79178"
"935","blur",205,2005938,"79178"
"936","focus",205,2014804,"79178"
"937","blur",205,2145561,"79178"
"938","focus",205,2198079,"79178"
"939","blur",205,2215898,"79178"
"940","focus",205,2237344,"79178"
"941","blur",205,2264876,"79178"
"942","focus",205,2300677,"79178"
"943","blur",608,2592552,"79178"
"944","focus",608,2704581,"79178"
"945","blur",809,2969640,"79178"
"946","focus",809,2970065,"79178"
"947","blur",872,3874577,"79178"
"948","focus",872,41726375,"79178"
"949","blur",872,41754556,"79178"
"950","focus",872,41760430,"79178"
"951","blur",1278,42741892,"79178"
"952","focus",1278,43540162,"79178"
"953","blur",1278,43541823,"79178"
"954","focus",1278,53519180,"79178"
"955","blur",1278,53625922,"79178"
"956","focus",1278,53987957,"79178"
"957","blur",1278,53991399,"79178"
"958","focus",1278,55510825,"79178"
"959","blur",1,28488,"79188"
"960","focus",1,33904,"79188"
"961","fullscreenenter",2,48330,"79188"
"962","blur",1,10386,"78471"
"963","focus",1,11621,"78471"
"964","fullscreenenter",2,32727,"78471"
"965","fullscreenenter",2,8590,"79171"
"966","blur",809,659646,"79171"
"967","focus",809,673140,"79171"
"968","blur",1138,1275445,"79171"
"969","focus",1138,1278738,"79171"
"970","blur",2,46395,"78315"
"971","focus",2,46397,"78315"
"972","blur",2,46398,"78315"
"973","fullscreenenter",2,46424,"78315"
"974","focus",2,46660,"78315"
"975","fullscreenexit",5,82680,"78315"
"976","blur",725,1914455,"78315"
"977","focus",725,2030859,"78315"
"978","focus",725,2030859,"78315"
"979","blur",0,597,"78422"
"980","focus",1,4820,"78422"
"981","focus",1,4820,"78422"
"982","focus",0,2,"79548"
"983","fullscreenenter",2,28817,"79548"
"984","fullscreenenter",2,9560,"79914"
"985","fullscreenenter",2,131281,"77593"
"986","fullscreenenter",2,9519,"77609"
"987","fullscreenenter",2,29377,"77763"
"988","focus",0,1583,"78010"
"989","focus",0,1584,"78010"
"990","fullscreenenter",2,25814,"78010"
"991","blur",2,44767,"78053"
"992","focus",2,44769,"78053"
"993","blur",2,44771,"78053"
"994","fullscreenenter",2,44778,"78053"
"995","focus",2,45001,"78053"
"996","fullscreenexit",198,470510,"78053"
"997","blur",198,471742,"78053"
"998","focus",198,473025,"78053"
"999","blur",1329,2974646,"78053"
"1000","focus",1329,3335266,"78053"
"1001","focus",1329,3335266,"78053"
"1002","blur",1329,3337494,"78053"
"1003","focus",1329,3371985,"78053"
"1004","focus",1329,3371985,"78053"
"1005","fullscreenenter",2,34739,"78391"
"1006","fullscreenenter",2,31298,"78478"
"1007","blur",129,852793,"78478"
"1008","focus",129,870590,"78478"
"1009","blur",730,2619049,"78478"
"1010","focus",730,10919758,"78478"
"1011","fullscreenexit",730,10924313,"78478"
"1012","blur",730,10926716,"78478"
"1013","focus",730,10934993,"78478"
"1014","blur",730,10938813,"78478"
"1015","focus",730,12767536,"78478"
"1016","focus",730,12767537,"78478"
"1017","fullscreenenter",2,18118,"79167"
"1018","blur",1321,2361441,"79167"
"1019","focus",1321,2361715,"79167"
"1020","focus",1321,2361715,"79167"
"1021","blur",1,16202,"79580"
"1022","focus",1,16899,"79580"
"1023","fullscreenenter",2,28474,"79580"
"1024","fullscreenenter",2,9560,"79914"
"1025","fullscreenenter",2,11810,"79970"
"1026","fullscreenenter",2,43397,"80050"
"1027","fullscreenenter",2,41063,"80446"
"1028","blur",259,1259356,"80446"
"1029","focus",259,1353212,"80446"
"1030","fullscreenenter",2,11605,"77543"
"1031","fullscreenenter",2,26032,"77815"
"1032","fullscreenenter",2,11418,"79058"
"1033","blur",77,225858,"79058"
"1034","focus",77,284147,"79058"
"1035","blur",267,801765,"79058"
"1036","focus",267,2069123,"79058"
"1037","fullscreenexit",267,2090709,"79058"
"1038","blur",267,2092188,"79058"
"1039","focus",267,2156857,"79058"
"1040","blur",872,3282555,"79058"
"1041","focus",872,3283679,"79058"
"1042","blur",1077,3640100,"79058"
